Title,Links,Distributor,Opening,Budget,Release Date,MPAA,Running Time,Genres,In Release,Widest Release,Director,Domestic,International,Worldwide
Blithe Spirit,/release/rl2874442497/?ref_=bo_yld_table_180,IFC Films,"$88,559",-,"Feb 19, 2021",PG-13,1 hr 39 min,"['Comedy', 'Fantasy', 'Romance']",316 days/45 weeks,239 theaters,"Edward Hall

","
$282,500
","
$682,332
","
$964,832
"
American Skin,/release/rl1785103105/?ref_=bo_yld_table_181,Vertical Entertainment,"$46,410",-,"Jan 15, 2021",R,1 hr 30 min,"['Drama', 'Thriller']",351 days/50 weeks,72 theaters,"Nate Parker

","
$282,332
","
–
","
$282,332
"
I'm Your Man,/release/rl638747393/?ref_=bo_yld_table_182,Bleecker Street Media,"$32,917",-,"Sep 24, 2021",R,1 hr 48 min,"['Comedy', 'Drama', 'Romance', 'Sci-Fi']",105 days/15 weeks,122 theaters,"Maria Schrader

","
$275,155
","
$815,506
","
$1,090,661
"
Escape from Mogadishu,/release/rl4144333569/?ref_=bo_yld_table_183,Well Go USA Entertainment,"$112,788",-,"Aug 6, 2021",,2 hr 1 min,"['Action', 'Drama', 'Thriller']",148 days/21 weeks,42 theaters,"Ryoo Seung-wan

","
$346,271
","
$29,556,445
","
$29,902,716
"
Raging Fire,/release/rl2114487041/?ref_=bo_yld_table_184,Well Go USA Entertainment,"$101,926",-,"Aug 13, 2021",,2 hr 6 min,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",141 days/20 weeks,59 theaters,"Benny Chan

","
$385,305
","
$205,457,088
","
$205,842,393
"
A Mouthful of Air,/release/rl2081522433/?ref_=bo_yld_table_185,Stage 6 Films,"$130,701",-,"Oct 29, 2021",R,1 hr 45 min,['Drama'],70 days/10 weeks,816 theaters,"Amy Koppelman

","
$269,435
","
–
","
$269,435
"
Rita Moreno: Just a Girl Who Decided to Go for It,/release/rl3077669633/?ref_=bo_yld_table_186,Roadside Attractions,"$84,366",-,"Jun 18, 2021",PG-13,1 hr 30 min,"['Biography', 'Documentary']",197 days/28 weeks,227 theaters,"Mariem Pérez Riera

","
$264,626
","
–
","
$264,626
"
Weathering with You,/release/rl3669066241/?ref_=bo_yld_table_187,GKIDS,"$1,808,533",-,"Jan 15, 2020",PG-13,1 hr 52 min,"['Animation', 'Drama', 'Fantasy', 'Romance']",717 days/102 weeks,"1,020 theaters","Makoto Shinkai

","
$8,056,636
","
$184,399,986
","
$192,456,622
"
Once I Was Engaged,/release/rl1644593921/?ref_=bo_yld_table_188,Excel Entertainment,"$35,304",-,"Jul 21, 2021",,1 hr 47 min,['Comedy'],164 days/23 weeks,32 theaters,"Maclain Nelson

","
$254,775
","
–
","
$254,775
"
Supernova,/release/rl3512894209/?ref_=bo_yld_table_189,Bleecker Street Media,"$90,096",-,"Jan 29, 2021",R,1 hr 35 min,"['Drama', 'Romance']",337 days/48 weeks,330 theaters,"Harry Macqueen

","
$234,220
","
$3,181,567
","
$3,415,787
"
